State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_type_TCPD,Party_ID,Max_Poll_No,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Country,Women %,,,Name of Party,Result_2019,Result_2014,Share_2019,Share_2014,MH_2009_Party,MH_2009_Seats,MH_2009_Votes%,MH_2014_Party,MH_2014_Seats,MH_2014_Votes%,MH_Year,Congress Seats
Andhra_Pradesh,17,1,2019,4,0,4,11,SWAMULA. SUBRAHMANYAM,F,Jana Jagruti Party,4705,ST,1066978,1449334,ARUKU,ST,SEEMANDHRA,10,73.62,0.44,yes,0,0,2.7,21,Local Party,17070,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,2,2019,4,0,4,1,KINJARAPU RAM MOHAN NAIDU,M,TDP,534544,GEN,1157329,1540170,SRIKAKULAM,GEN,SEEMANDHRA,9,75.14,46.19,no,6653,0.57,2.38,GEAP819,State-based Party,8300,0,TRUE,2,TDP,8300,,,TRUE,2,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,2,2019,4,0,4,2,DUVVADA SRINIVAS,M,YSRCP,527891,GEN,1157329,1540170,SRIKAKULAM,GEN,SEEMANDHRA,9,75.14,45.61,no,495935,42.85,2.38,30,State-based Party,8615,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,2,2019,4,0,4,3,METTA RAMARAO,M,Janasena Party,31956,,1157329,1540170,SRIKAKULAM,GEN,SEEMANDHRA,9,75.14,2.76,yes,6411,0.55,2.38,33,Local Party,17069,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,2,2019,4,0,4,4,None Of The Above,,NOTA,25545,,1157329,1540170,SRIKAKULAM,GEN,SEEMANDHRA,9,75.14,2.21,yes,11800,1.02,2.38,,,,0,TRUE,546,NOTA,,,,,0,,FALSE,TRUE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,2,2019,4,0,4,5,DOLA JAGAN,M,INC,13745,,1157329,1540170,SRIKAKULAM,GEN,SEEMANDHRA,9,75.14,1.19,yes,5355,0.46,2.38,29,National Party,3482,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,2,2019,4,0,4,6,PERLA SAMBA MURTHY,M,BJP,8390,,1157329,1540170,SRIKAKULAM,GEN,SEEMANDHRA,9,75.14,0.72,yes,3234,0.28,2.38,31,National Party,1605,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,2,2019,4,0,4,7,NAIDUGARI RAJASEKHAR,M,IND,5156,,1157329,1540170,SRIKAKULAM,GEN,SEEMANDHRA,9,75.14,0.45,yes,320,0.03,2.38,35,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,2,2019,4,0,4,8,NAMBALLA KRISHNA MOHAN,M,IND,4836,,1157329,1540170,SRIKAKULAM,GEN,SEEMANDHRA,9,75.14,0.42,yes,1018,0.09,2.38,34,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,2,2019,4,0,4,9,BETHA VIVEKANANDA MAHARAJ,M,IND,3818,,1157329,1540170,SRIKAKULAM,GEN,SEEMANDHRA,9,75.14,0.33,yes,2370,0.2,2.38,36,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,2,2019,4,0,4,10,MATTA SATISH CHAKRAVARTHY,M,Pyramid Party of India,1448,,1157329,1540170,SRIKAKULAM,GEN,SEEMANDHRA,9,75.14,0.13,yes,0,0,2.38,32,Local Party,6298,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,3,2019,4,0,4,1,Bellana Chandra Sekhar,M,YSRCP,578418,GEN,1217890,1499300,VIZIANAGARAM,GEN,SEEMANDHRA,14,81.23,47.49,no,48036,3.94,2.38,39,State-based Party,8615,0,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,3,2019,4,0,4,2,Ashok Gajapathi Raju Pusapati,M,TDP,530382,GEN,1217890,1499300,VIZIANAGARAM,GEN,SEEMANDHRA,14,81.23,43.55,no,496190,40.74,2.38,GEAP241,State-based Party,8300,0,TRUE,2,TDP,8300,,,TRUE,1,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,3,2019,4,0,4,3,Mukka Srinivas Rao,M,Janasena Party,34192,,1217890,1499300,VIZIANAGARAM,GEN,SEEMANDHRA,14,81.23,2.81,yes,4691,0.39,2.38,43,Local Party,17069,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,3,2019,4,0,4,4,None Of The Above,,NOTA,29501,,1217890,1499300,VIZIANAGARAM,GEN,SEEMANDHRA,14,81.23,2.42,yes,13776,1.13,2.38,,,,0,TRUE,547,NOTA,,,,,0,,FALSE,TRUE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,3,2019,4,0,4,5,Adiraju Yedla,M,INC,15725,,1217890,1499300,VIZIANAGARAM,GEN,SEEMANDHRA,14,81.23,1.29,yes,8459,0.69,2.38,38,National Party,3482,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,3,2019,4,0,4,6,Sanyasi Raju Pakalapati,M,BJP,7266,GEN,1217890,1499300,VIZIANAGARAM,GEN,SEEMANDHRA,14,81.23,0.6,yes,928,0.08,2.38,GEAP81724,National Party,1605,0,TRUE,3,BJP,1605,,,TRUE,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,3,2019,4,0,4,7,Venkata Trindha Rao Veluri,M,IND,6338,,1217890,1499300,VIZIANAGARAM,GEN,SEEMANDHRA,14,81.23,0.52,yes,1355,0.11,2.38,50,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,3,2019,4,0,4,8,P.V.A. Ananda Sagar,M,Samaanya Praja Party,4983,,1217890,1499300,VIZIANAGARAM,GEN,SEEMANDHRA,14,81.23,0.41,yes,430,0.04,2.38,41,Local Party,18166,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,3,2019,4,0,4,9,Ijjurouthu Ramunaidu,M,IND,4553,,1217890,1499300,VIZIANAGARAM,GEN,SEEMANDHRA,14,81.23,0.37,yes,3091,0.25,2.38,49,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
